filename,extension,owner,permissions,size,created,modified,has_sensitive_keyword,label
/mnt/logs/Bank_Statement.pdf,.pdf,Operations,Internal,2735,2023-01-02,2023-01-03,True,1
/srv/configs/survey_record.csv,.csv,Finance,Public,372,2022-06-07,2023-05-02,False,0
C:\Program Files\invoice.xlsx,.xlsx,IT,Internal,264,2024-04-01,2024-04-04,True,0
/mnt/secure/financial_planner_report.csv,.csv,Operations,Restricted,115,2022-05-14,2022-11-08,False,0
/srv/records/partnership_agreement_file.pptx,.pptx,Operations,Public,722,2021-04-17,2022-03-08,False,0
/var/tmp_storage/configuration.xlsx,.xlsx,IT,Internal,909,2025-01-15,2025-07-28,False,0
/home/data/sales_forecast.csv,.csv,HR,Confidential,569,2023-10-11,2024-07-28,False,0
C:\Temp\hr_policy.txt,.txt,Marketing,Restricted,84,2024-01-15,2024-01-22,True,1
/var/tmpdata/tourist_guide.csv,.csv,Marketing,Internal,433,2023-09-14,2024-03-02,False,0
/var/backups/sales_data.xlsx,.xlsx,Operations,Confidential,787,2022-06-30,2022-07-03,True,0
/mnt/files/diet_chart.pdf,.pdf,HR,Restricted,215,2022-03-01,2023-02-13,False,0
/mnt/logs/revenue_report.pdf,.pdf,Finance,Internal,1378,2023-09-08,2024-01-07,False,0
/var/local/scan.txt,.txt,IT,Restricted,115,2021-01-09,2021-01-11,True,1
/home/media/legal_notice_details.txt,.txt,Marketing,Restricted,595,2024-08-12,2025-02-21,False,0
/home/system/user_manual.csv,.csv,IT,Public,268,2020-03-31,2021-01-02,False,0
/mnt/mounts/internal.csv,.csv,Operations,Internal,433,2022-02-20,2022-02-21,True,1
/srv/system/flight_details.docx,.docx,Finance,Restricted,1862,2022-11-01,2023-06-11,False,0
/srv/logs/fanfiction.pdf,.pdf,Marketing,Public,4460,2023-04-12,2023-10-30,False,0
C:\Windows\Temp\privileged.docx,.docx,Operations,Public,3517,2022-10-21,2022-10-27,True,1
/var/tmp_storage/backup_technical_doc.pdf,.pdf,Marketing,Public,289,2024-11-18,2025-05-21,False,0
/mnt/projects/ledger.pptx,.pptx,Operations,Restricted,66,2025-02-18,2025-02-18,True,1
/home/system/legal_notice_details.pptx,.pptx,HR,Restricted,1782,2022-03-23,2022-04-07,False,0
/home/user/Documents/court.xlsx,.xlsx,Marketing,Public,215,2022-05-28,2022-06-04,True,1
C:\Windows\Temp\meditation_notes_file.pptx,.pptx,Marketing,Restricted,93,2025-02-20,2025-05-11,False,0
/mnt/projects/census_data.pptx,.pptx,Operations,Restricted,3382,2024-01-10,2024-12-04,False,0
/var/tmp_storage/internal.pdf,.pdf,Finance,Internal,190,2021-01-19,2021-01-23,True,0
C:\Temp\visa_guide.csv,.csv,Marketing,Restricted,13335,2024-12-04,2025-02-19,False,0
/home/system/partnership_agreement_file.csv,.csv,HR,Confidential,591,2022-09-09,2023-03-02,False,0
/home/common/software_update_log.pdf,.pdf,Finance,Internal,9,2020-04-24,2020-12-19,False,0
/var/tmpdata/final_conference_agenda.txt,.txt,HR,Confidential,224,2024-11-10,2025-03-07,False,0
/var/tmpdata/technical_doc.xlsx,.xlsx,Finance,Internal,116,2023-04-19,2023-07-17,False,0
/tmp/storage/disease.pptx,.pptx,Finance,Public,333,2024-01-06,2024-01-07,True,1
/srv/backup/data_privacy.xlsx,.xlsx,Operations,Confidential,45,2021-02-02,2021-02-05,True,0
C:\Users\Desktop\clinical.docx,.docx,Marketing,Confidential,168,2021-11-28,2021-11-29,True,1
/home/system/trip_plan_file.pdf,.pdf,Operations,Confidential,74,2024-03-07,2025-02-19,False,0
C:\Users\Guest\confidential_doc.xlsx,.xlsx,HR,Internal,513,2024-10-07,2024-10-08,True,1
C:\Temp\corporate_strategy_file.txt,.txt,Operations,Confidential,211,2020-06-21,2021-01-22,False,0
/var/logs/salary_slip.txt,.txt,Operations,Restricted,190,2022-07-07,2022-07-12,True,1
/home/data/tax_return.csv,.csv,IT,Public,706,2021-03-04,2021-03-08,True,0
C:\Users\Guest\nda_doc.docx,.docx,Marketing,Restricted,48,2025-01-09,2025-01-11,True,1
/home/common/minutes.txt,.txt,IT,Public,87,2021-12-25,2022-01-03,False,0
/var/tmpdata/aadhaarcard.csv,.csv,IT,Internal,186,2022-11-02,2022-11-07,True,1
/srv/shared/Admin.pptx,.pptx,Finance,Internal,534,2021-06-24,2021-06-26,True,1
/srv/records/privileged.txt,.txt,HR,Restricted,930,2020-12-16,2020-12-21,True,1
/mnt/dev/music_sheet.csv,.csv,HR,Confidential,257,2023-12-08,2024-04-08,False,0
/mnt/secure/patch_notes_doc.csv,.csv,Operations,Public,367,2024-10-27,2025-10-13,False,0
/srv/configs/novel_outline.txt,.txt,Finance,Internal,640,2021-01-19,2022-01-18,False,0
C:\Users\Documents\birth_certificate.xlsx,.xlsx,Operations,Confidential,404,2022-10-02,2022-10-02,True,1
/home/local/script_record.pptx,.pptx,Finance,Restricted,889,2021-10-05,2022-07-18,False,1
/home/data/business_roadmap.txt,.txt,Finance,Internal,4866,2022-11-20,2023-01-05,False,0
/tmp/storage/visa.docx,.docx,IT,Internal,58,2023-12-24,2023-12-31,True,1
C:\Users\Guest\technical_doc_report.txt,.txt,IT,Public,205,2021-06-18,2021-12-15,False,0
C:\Windows\System32\payroll.csv,.csv,IT,Confidential,226,2024-07-22,2024-07-26,True,0
/var/backups/medication.txt,.txt,IT,Confidential,219,2021-03-20,2021-03-22,True,0
/mnt/archive/concert_tickets.pdf,.pdf,Operations,Public,1764,2020-08-07,2021-01-26,False,0
/var/tmp_storage/updated_notes.txt,.txt,Marketing,Internal,1081,2021-09-27,2022-04-03,False,0
/var/run/questionnaire.csv,.csv,Marketing,Public,275,2020-04-27,2020-09-06,False,0
/var/run/bank.csv,.csv,Operations,Internal,149,2022-02-12,2022-02-15,True,1
/mnt/storage/medical.pdf,.pdf,Finance,Confidential,748,2023-11-28,2023-12-01,True,1
/home/docs/old_study_guide.pdf,.pdf,IT,Public,205,2020-05-19,2021-05-17,False,0
/mnt/backup/development_notes_file.txt,.txt,HR,Restricted,197,2023-12-13,2024-11-13,False,0
/srv/backup/pan.docx,.docx,Operations,Internal,313,2023-05-20,2023-05-27,True,1
/home/system/festival_info_record.pdf,.pdf,Operations,Confidential,594,2022-06-12,2023-04-19,False,1
/srv/docs/faq.csv,.csv,Finance,Confidential,414,2022-02-20,2022-03-22,False,0
/tmp/storage/sample_configuration.txt,.txt,Marketing,Restricted,188,2022-11-02,2023-05-05,False,0
/var/tmp/v2_comic_strip.docx,.docx,Finance,Restricted,155,2022-06-25,2023-03-22,False,0
C:\Users\Desktop\faq.pptx,.pptx,Marketing,Internal,151,2022-07-12,2023-06-26,False,0
C:\Windows\Temp\study_guide.docx,.docx,IT,Confidential,126,2024-12-20,2025-07-08,False,1
C:\Users\Default\research_paper_log.txt,.txt,Finance,Public,489,2024-12-18,2025-08-11,False,0
/srv/users/health.xlsx,.xlsx,Operations,Confidential,593,2020-08-12,2020-08-18,True,1
C:\Users\Documents\design_mockup.xlsx,.xlsx,Marketing,Internal,606,2020-06-22,2020-10-19,False,0
/srv/backup/CEO.pptx,.pptx,HR,Public,1581,2021-06-21,2021-06-26,True,1
/var/spool/event_schedule_details.xlsx,.xlsx,Operations,Public,405,2020-11-15,2021-01-26,False,0
/srv/system/wireframe.docx,.docx,Finance,Restricted,956,2024-04-10,2024-08-30,False,0
/srv/storage/technical_report.txt,.txt,Marketing,Restricted,322,2022-04-17,2022-11-08,False,0
C:\Users\Documents\contractAgreement.txt,.txt,HR,Confidential,734,2022-12-10,2022-12-14,True,1
/var/local/education_policy.csv,.csv,HR,Restricted,3636,2020-04-27,2020-11-02,False,0
/srv/logs/product_catalog.csv,.csv,Marketing,Internal,961,2021-09-01,2021-10-28,False,0
/srv/docs/journal_entry.txt,.txt,Marketing,Restricted,1330,2023-01-21,2023-02-19,False,0
C:\Users\Desktop\balanceSheet.docx,.docx,Finance,Public,665,2022-03-16,2022-03-19,True,0
/var/spool/tourist_guide.pdf,.pdf,HR,Internal,1187,2023-05-19,2023-11-07,False,0
C:\Users\Default\expense.docx,.docx,Operations,Internal,144,2024-06-17,2024-06-17,True,1
/home/admin/logs/goal_setting.csv,.csv,HR,Internal,252,2020-12-13,2021-11-28,False,0
/mnt/dev/expense_sheet.txt,.txt,Marketing,Confidential,202,2022-03-19,2022-10-15,False,0
/mnt/dev/network_plan.csv,.csv,Finance,Internal,568,2023-02-22,2024-02-11,False,0
C:\Users\Desktop\Bank_Statement.txt,.txt,Finance,Restricted,143,2022-12-13,2022-12-17,True,0
/srv/records/workflow_document.xlsx,.xlsx,HR,Internal,587,2024-10-04,2025-06-18,False,0
/var/local/legal_doc.csv,.csv,Marketing,Internal,141,2024-04-17,2024-04-19,True,1
/srv/logs/schedule.xlsx,.xlsx,Operations,Public,372,2020-07-08,2021-04-23,False,0
C:\Users\Documents\bank.docx,.docx,Marketing,Public,31,2022-12-03,2022-12-04,True,1
C:\Windows\Temp\contract.pptx,.pptx,HR,Internal,182,2021-05-26,2021-06-01,True,1
C:\Users\Guest\industry_insights.xlsx,.xlsx,HR,Internal,117,2024-10-17,2025-07-31,False,1
/mnt/projects/fanfiction.csv,.csv,Finance,Public,631,2020-07-09,2020-10-04,False,0
/var/local/backup_report.csv,.csv,Marketing,Public,1392,2023-02-02,2023-10-22,False,0
/mnt/data/updated_case_study.csv,.csv,IT,Internal,1235,2023-05-12,2024-01-18,False,0
/home/media/copy_patch_notes.pptx,.pptx,IT,Restricted,1425,2020-09-16,2021-03-22,False,0
/mnt/backup/fanfiction.docx,.docx,Marketing,Confidential,537,2021-09-01,2022-03-24,False,0
/mnt/files/animation.xlsx,.xlsx,Marketing,Internal,271,2022-06-29,2022-10-09,False,0
/mnt/data/conference_paper.docx,.docx,IT,Internal,261,2024-05-19,2025-03-15,False,0
C:\Temp\operation_manual.xlsx,.xlsx,Finance,Restricted,134,2021-08-14,2022-01-31,False,0
/tmp/files/covid.pdf,.pdf,Marketing,Public,23,2020-08-11,2020-08-17,True,1
/srv/backup/personal_id.xlsx,.xlsx,Finance,Internal,178,2020-09-02,2020-09-02,True,1
/var/spool/comic_strip.pdf,.pdf,HR,Internal,71,2021-12-14,2022-04-14,False,0
/srv/backup/personal_id.pptx,.pptx,Finance,Public,151,2023-01-19,2023-01-23,True,1
/srv/storage/review.txt,.txt,HR,Restricted,219,2024-09-21,2024-09-26,False,0
/mnt/backup/reference.csv,.csv,Operations,Restricted,1848,2022-06-28,2022-09-09,False,0
/tmp/files/configuration.txt,.txt,HR,Internal,323,2024-06-15,2024-09-17,False,0
/etc/logs/legal.docx,.docx,Marketing,Internal,270,2021-02-26,2021-03-01,True,1
/srv/docs/lecture_notes_file.pptx,.pptx,Finance,Internal,570,2023-08-19,2023-09-03,False,0
/home/docs/court.xlsx,.xlsx,Operations,Restricted,462,2023-01-30,2023-02-01,True,1
/srv/logs/statistics.pdf,.pdf,HR,Internal,750,2021-03-11,2021-05-29,False,0
/srv/logs/development_notes_file.docx,.docx,IT,Internal,1130,2022-10-28,2023-05-09,False,0
/home/system/storyboard.xlsx,.xlsx,Operations,Confidential,324,2023-10-24,2024-02-07,False,0
/srv/records/old_study_guide.txt,.txt,Operations,Confidential,48,2022-11-24,2023-06-07,False,0
/srv/temp/budget_plan.xlsx,.xlsx,HR,Confidential,114,2023-07-22,2023-07-27,True,1
/var/db/receipt.txt,.txt,IT,Restricted,618,2022-03-12,2022-03-17,True,0
/var/local/budget_tracker.pdf,.pdf,Marketing,Internal,218,2024-11-29,2024-12-12,False,0
/home/local/license.xlsx,.xlsx,Finance,Public,35,2021-10-14,2021-10-19,True,1
/var/tmpdata/checklist_data.docx,.docx,Operations,Internal,1712,2022-12-05,2023-11-11,False,0
/mnt/mounts/cibil_score.txt,.txt,HR,Confidential,699,2022-11-11,2022-11-12,True,1
C:\Users\Public\aadhar.pdf,.pdf,Operations,Internal,1368,2022-04-16,2022-04-16,True,1
/tmp/storage/concert_tickets_data.txt,.txt,IT,Public,484,2022-02-10,2023-02-03,False,0
C:\Windows\System32\patch_notes.csv,.csv,Marketing,Internal,1008,2022-09-27,2022-11-18,False,0
/var/lib/surgery.docx,.docx,Marketing,Confidential,3183,2021-01-29,2021-02-04,True,1
/srv/shared/xray.xlsx,.xlsx,IT,Internal,78,2021-04-10,2021-04-13,True,1
/mnt/archive/visa_guide.pptx,.pptx,Finance,Public,124,2023-08-18,2024-05-20,False,0
/tmp/files/mental_health.txt,.txt,HR,Restricted,119,2021-09-06,2021-09-10,True,1
/home/media/final_journal_entry.pptx,.pptx,IT,Restricted,622,2023-08-30,2024-03-25,False,0
/mnt/data/feature_list.pptx,.pptx,Operations,Restricted,1219,2022-05-27,2022-12-23,False,0
/mnt/projects/product_catalog.txt,.txt,Marketing,Confidential,235,2024-11-10,2025-09-17,False,0
/mnt/archive/v2_troubleshooting_guide.txt,.txt,Marketing,Public,524,2025-02-11,2025-07-01,False,0
/mnt/logs/public_notice.txt,.txt,Marketing,Public,60,2023-03-11,2023-04-06,False,0
/var/spool/school_report.pdf,.pdf,Operations,Restricted,286,2024-02-23,2024-06-23,False,1
/mnt/files/cybersecurity.xlsx,.xlsx,Finance,Restricted,211,2024-11-28,2024-11-30,True,1
/mnt/archive/national_id.txt,.txt,HR,Internal,495,2022-11-12,2022-11-16,True,1
/home/admin/logs/expense_summary.csv,.csv,Marketing,Confidential,2706,2021-02-24,2022-02-03,False,0
C:\Users\Documents\birth_certificate.docx,.docx,IT,Public,326,2024-03-15,2024-03-22,True,1
/etc/configs/aadhar_card.xlsx,.xlsx,Marketing,Restricted,576,2021-04-14,2021-04-20,True,0
/srv/records/technical_report.csv,.csv,Marketing,Public,246,2022-04-04,2022-08-23,False,0
/var/local/hr_policy.xlsx,.xlsx,IT,Public,664,2025-02-24,2025-02-26,True,1
/srv/users/city_map.docx,.docx,IT,Restricted,878,2024-11-25,2025-01-02,False,0
/tmp/files/mortgage.docx,.docx,Marketing,Public,333,2024-08-15,2024-08-15,True,1
C:\Users\Default\litigation.pdf,.pdf,Marketing,Internal,235,2020-04-03,2020-04-08,True,1
/mnt/mounts/health.xlsx,.xlsx,IT,Internal,1441,2020-11-03,2020-11-07,True,1
/var/tmp_storage/cheque.txt,.txt,Finance,Restricted,431,2020-07-20,2020-07-27,True,1
/home/system/securities.docx,.docx,HR,Confidential,916,2023-12-29,2023-12-31,True,1
C:\Users\Default\network_plan.txt,.txt,HR,Internal,130,2023-06-02,2023-08-07,False,0
C:\Windows\Temp\legal_doc.txt,.txt,Marketing,Restricted,179,2021-12-28,2022-01-03,True,0
/srv/storage/lab_report.csv,.csv,Operations,Confidential,466,2024-12-22,2024-12-25,True,1
/srv/users/questionnaire.csv,.csv,Finance,Restricted,1179,2021-11-29,2022-05-15,False,0
/etc/logs/surgery.txt,.txt,Finance,Public,389,2022-04-26,2022-05-01,True,1
/var/logs/updated_policy_brief.docx,.docx,Operations,Public,8,2020-11-15,2021-03-03,False,0
C:\Users\Desktop\balance_sheet.pptx,.pptx,Marketing,Internal,163,2020-11-15,2020-11-22,True,0
/mnt/archive/industry_insights.txt,.txt,Finance,Public,57,2021-03-01,2021-04-12,False,1
/srv/system/troubleshooting_guide.xlsx,.xlsx,Operations,Confidential,2388,2025-03-03,2025-08-31,False,0
C:\Users\Administrator\journal_entry.txt,.txt,HR,Internal,850,2024-08-28,2025-06-08,False,0
/home/shared/meeting_minutes.csv,.csv,IT,Restricted,86,2024-06-19,2024-06-21,True,1
/home/common/identity_proof.txt,.txt,Operations,Restricted,457,2020-03-31,2020-04-07,True,0
/home/local/license.txt,.txt,Operations,Confidential,1260,2024-05-30,2024-05-31,True,1
/var/backups/balance_sheet.pptx,.pptx,Operations,Internal,70,2022-04-08,2022-04-11,True,1
C:\Users\Documents\personal_id.pptx,.pptx,Operations,Public,201,2020-11-02,2020-11-03,True,0
/srv/logs/ehr.docx,.docx,Finance,Confidential,392,2022-09-28,2022-10-05,True,1
/srv/backup/sample_worksheet.pdf,.pdf,Marketing,Internal,314,2022-11-18,2023-07-27,False,0
/mnt/archive/government_notice.pdf,.pdf,IT,Public,2301,2022-11-21,2022-12-21,False,0
/home/user/Documents/summary.txt,.txt,IT,Confidential,1107,2021-03-12,2022-02-03,False,0
/srv/temp/strategy.pptx,.pptx,Operations,Confidential,594,2020-04-03,2020-04-05,True,1
/srv/logs/court.pdf,.pdf,IT,Internal,897,2024-07-29,2024-08-04,True,1
/mnt/storage/conference_paper.pdf,.pdf,IT,Confidential,158,2021-07-08,2021-12-06,False,0
/var/db/mortgage.pptx,.pptx,Operations,Restricted,886,2021-02-09,2021-02-11,True,1
/srv/shared/conference_paper.docx,.docx,Marketing,Confidential,421,2024-10-07,2025-05-17,False,0
/home/docs/course_material.csv,.csv,Operations,Internal,370,2023-09-18,2023-12-18,False,0
/mnt/backup/student_handbook.xlsx,.xlsx,HR,Public,132,2023-07-31,2023-10-15,False,0
/srv/storage/audit.csv,.csv,Finance,Public,236,2022-10-02,2022-10-05,True,1
/tmp/storage/nda.docx,.docx,IT,Internal,123,2024-03-18,2024-03-22,True,1
/srv/docs/task_manager.txt,.txt,IT,Confidential,1452,2020-06-29,2020-09-18,False,0
/home/common/final_presentation.docx,.docx,Finance,Public,754,2023-02-06,2023-07-23,False,0
/home/data/policy.txt,.txt,Finance,Public,262,2021-11-27,2021-12-03,True,1
/var/logs/product_specs_overview.csv,.csv,Finance,Public,1918,2020-03-21,2020-08-26,False,0
/var/backups/restaurant_review.csv,.csv,IT,Internal,17,2022-01-14,2022-09-23,False,0
/home/backup/aadhaar_card.xlsx,.xlsx,Operations,Public,2079,2020-03-17,2020-03-18,True,0
C:\Windows\Temp\confidential.docx,.docx,HR,Internal,1628,2024-09-07,2024-09-10,True,1
/srv/system/study_guide.pptx,.pptx,Marketing,Restricted,233,2025-01-05,2025-06-07,False,0
/tmp/storage/payment.pdf,.pdf,HR,Public,1432,2021-12-13,2021-12-20,True,1
/tmp/files/salarySlip.pdf,.pdf,IT,Confidential,119,2022-12-16,2022-12-22,True,1
/srv/logs/loan.pdf,.pdf,Marketing,Public,891,2021-11-23,2021-11-26,True,0
/etc/configs/info_handbook.docx,.docx,IT,Internal,1064,2023-12-03,2024-03-12,False,0
/mnt/files/open_access.docx,.docx,HR,Confidential,536,2022-11-23,2023-02-01,False,0
/srv/configs/corporate_law.xlsx,.xlsx,IT,Restricted,1613,2021-01-13,2021-01-18,True,0
/mnt/logs/trademark.csv,.csv,IT,Restricted,2960,2021-05-29,2021-06-02,True,1
C:\Users\Desktop\transaction.xlsx,.xlsx,Finance,Confidential,871,2022-09-09,2022-09-12,True,1
/var/spool/revenue_report_details.pptx,.pptx,Operations,Internal,1320,2025-01-24,2025-03-03,False,0
/var/backups/open_access.pdf,.pdf,Marketing,Public,231,2022-10-26,2023-06-02,False,0
/var/spool/business_roadmap_log.xlsx,.xlsx,Marketing,Internal,171,2021-10-08,2022-04-12,False,0
/home/backup/payslip.xlsx,.xlsx,Finance,Public,175,2024-03-03,2024-03-09,True,1
C:\Users\confidential.csv,.csv,Operations,Restricted,352,2022-08-03,2022-08-04,True,1
C:\Temp\storyboard.csv,.csv,IT,Internal,390,2024-10-04,2025-01-03,False,1
/var/backups/pan.pdf,.pdf,IT,Restricted,549,2021-11-06,2021-11-08,True,1
C:\Windows\Temp\social_security.xlsx,.xlsx,Marketing,Confidential,93,2023-01-24,2023-01-31,True,0
/var/logs/payroll.docx,.docx,Operations,Internal,241,2023-08-30,2023-09-04,True,1
/etc/configs/festival_info_record.pptx,.pptx,HR,Confidential,308,2024-07-02,2024-08-25,False,0
C:\Users\Guest\financial_planner.docx,.docx,IT,Confidential,728,2023-10-01,2024-01-30,False,0
/home/system/terms_conditions.pptx,.pptx,Operations,Confidential,229,2022-11-12,2022-11-16,True,1
/var/backups/technical_doc.pptx,.pptx,Operations,Internal,1768,2020-06-05,2020-10-20,False,0
C:\Windows\System32\contract_doc.pdf,.pdf,IT,Internal,280,2024-05-24,2024-05-25,True,1
/srv/records/aadharcard.xlsx,.xlsx,HR,Restricted,865,2024-02-24,2024-03-01,True,1
/home/system/visa.pptx,.pptx,IT,Restricted,3161,2023-09-26,2023-10-01,True,1
/var/tmp_storage/court.pdf,.pdf,Finance,Internal,209,2020-09-21,2020-09-23,True,1
C:\Program Files\festival_info.docx,.docx,Marketing,Internal,129,2023-01-18,2023-10-22,False,0
/home/downloads/presentation.pdf,.pdf,HR,Internal,60,2022-04-23,2022-04-26,True,1
/srv/records/industry_insights_record.pptx,.pptx,IT,Confidential,149,2023-03-26,2023-08-21,False,0
/var/lib/checklist_data.txt,.txt,HR,Restricted,536,2024-07-30,2025-03-31,False,0
/srv/logs/event_schedule.xlsx,.xlsx,Finance,Internal,74,2025-01-21,2025-07-19,False,0
/srv/backup/budget_plan_info.txt,.txt,IT,Confidential,963,2023-04-18,2023-08-19,False,0
C:\Users\Public\network_plan.xlsx,.xlsx,IT,Public,437,2021-10-13,2022-06-30,False,0
C:\Users\Public\terms_of_service.csv,.csv,Finance,Confidential,303,2024-03-02,2024-03-03,True,1
/home/backup/travel_blog_notes.xlsx,.xlsx,HR,Confidential,255,2024-12-25,2025-02-28,False,0
/home/data/whitepaper.csv,.csv,Finance,Confidential,150,2021-09-02,2022-03-28,False,0
C:\Windows\Temp\financial_forecast.pdf,.pdf,IT,Public,649,2022-03-20,2022-03-27,True,1
/home/system/xray.pptx,.pptx,HR,Restricted,340,2021-05-19,2021-05-24,True,1
C:\Temp\arbitration.pptx,.pptx,HR,Internal,630,2023-07-03,2023-07-10,True,1
/var/local/research_paper_log.pdf,.pdf,IT,Internal,864,2020-07-29,2020-09-21,False,0
/srv/users/technical_doc.docx,.docx,Operations,Internal,1392,2022-01-21,2022-03-09,False,0
/home/media/calendar.pdf,.pdf,Finance,Internal,110,2024-10-27,2025-05-18,False,0
C:\Users\sports_schedule_report.xlsx,.xlsx,HR,Restricted,182,2020-04-26,2020-05-26,False,0
/mnt/data/national_id.pptx,.pptx,IT,Confidential,629,2022-08-26,2022-08-31,True,1
/home/data/account.xlsx,.xlsx,Marketing,Restricted,236,2022-06-13,2022-06-17,True,0
C:\Windows\System32\minutes.pptx,.pptx,Finance,Internal,1370,2023-12-20,2024-04-08,False,0
/mnt/files/driving_license.xlsx,.xlsx,Operations,Confidential,35,2023-09-19,2023-09-22,True,0
/etc/logs/schedule.pdf,.pdf,IT,Restricted,128,2022-11-15,2023-10-15,False,0
/mnt/secure/book_club_info.docx,.docx,Marketing,Restricted,236,2020-06-04,2020-10-06,False,0
/home/system/privileged.docx,.docx,Marketing,Public,1950,2023-10-10,2023-10-11,True,1
/home/shared/diagnosis.xlsx,.xlsx,Operations,Public,1138,2021-03-10,2021-03-12,True,0
/srv/temp/payroll.xlsx,.xlsx,Marketing,Restricted,182,2023-04-18,2023-04-24,True,0
/home/user/Documents/public_notice.xlsx,.xlsx,IT,Restricted,186,2024-04-16,2024-07-30,False,0
/srv/storage/flyer.pdf,.pdf,Operations,Internal,215,2021-01-18,2021-02-17,False,0
C:\Users\Guest\workflow_document.pptx,.pptx,Marketing,Restricted,89,2023-08-26,2023-09-01,False,0
/var/backups/trademark.txt,.txt,Operations,Public,470,2023-10-01,2023-10-06,True,1
/mnt/archive/corporate_strategy_file.docx,.docx,Finance,Public,539,2024-12-24,2025-07-10,False,0
/var/tmp/travel_blog_notes.pdf,.pdf,HR,Confidential,707,2021-11-21,2022-03-06,False,0
/srv/docs/medicalRecord.pdf,.pdf,Operations,Confidential,29,2024-05-02,2024-05-04,True,1
/home/local/aadhaar_card.txt,.txt,Finance,Restricted,255,2024-10-11,2024-10-15,True,1
